"Name";"Friend-Id";"ScreenName";"Followers"
"Juliensthoughtz";"865523808035155970";"hussein_nasrlah";8415
"Juliensthoughtz";"2950424402";"1safatima";1196
"Juliensthoughtz";"1234168202911002624";"aline_itani";871
"Juliensthoughtz";"1251927549632020480";"patrickdaoud1";311
"Juliensthoughtz";"1304790067249020928";"marilyne_akl";561
"Name";"Friend-Id";"ScreenName";"Followers"
"hussein_nasrlah";"1206126760057876480";"leanmhmoed7";8070
"hussein_nasrlah";"1206597273414766592";"dimahmz";5379
"hussein_nasrlah";"1483211599";"dr_rajaam";5088
"hussein_nasrlah";"838351910";"time_to_break";4573
"hussein_nasrlah";"82569434";"fadiasherraka";4396
"Name";"Friend-Id";"ScreenName";"Followers"
"1safatima";"1206886152491470849";"Souzane95402363";16145
"1safatima";"1219927384973107200";"Damduuma";6872
"1safatima";"1130656729329491968";"nour_ali124";4913
"1safatima";"1187408322137337863";"HananMehdi83";4888
"1safatima";"1035434896313987072";"mohammadalghad5";3774
"Name";"Friend-Id";"ScreenName";"Followers"
"aline_itani";"885020624";"ahmed_shabatat";18706
"aline_itani";"620224063";"Zeidf1010";5789
"aline_itani";"1266555825360863232";"CallMeJoujou";2631
"aline_itani";"1261047684410081280";"nourmajdiwajdi";1846
"aline_itani";"815150359400292352";"HalaHammoudd";1818
"Name";"Friend-Id";"ScreenName";"Followers"
"patrickdaoud1";"387533686";"toufiluk";13994
"patrickdaoud1";"1217124317345079296";"Juliensthoughtz";14
"Name";"Friend-Id";"ScreenName";"Followers"
"marilyne_akl";"438655486";"ruffledviolets";11538
"marilyne_akl";"1211374767426555904";"Rmlichaa";4853
"marilyne_akl";"519792268";"georgekaram11";4423
"marilyne_akl";"1003251939063279618";"lakkis12";2979
"marilyne_akl";"1185230396499345415";"MayR07204309";2781
"Name";"Friend-Id";"ScreenName";"Followers"
"leanmhmoed7";"1279546845782585345";"cvcUapzQWe8BOql";3335
"leanmhmoed7";"1260390260757979143";"hhasanjawad";3258
"leanmhmoed7";"245994374";"ayadheidari";2644
"leanmhmoed7";"1267573235404677126";"sfana677";2329
"leanmhmoed7";"1204797762610458624";"abbssabbss";2112
"Name";"Friend-Id";"ScreenName";"Followers"
"dimahmz";"378768854";"safaa__darwich";31916
"dimahmz";"1187637724800532480";"Awde_";8366
"dimahmz";"1211374767426555904";"Rmlichaa";4853
"dimahmz";"378349913";"NourAidi";4764
"dimahmz";"1202249398929051649";"yasesaleh";4364
"Name";"Friend-Id";"ScreenName";"Followers"
"dr_rajaam";"2278261362";"spiraledamore";82528
"dr_rajaam";"353787683";"The_Golden_boy5";41704
"dr_rajaam";"1175658810767228928";"sodfa_101";33453
"dr_rajaam";"393961163";"NaderRantisi2";12921
"dr_rajaam";"807646158290120704";"hamewxd";9037
"Name";"Friend-Id";"ScreenName";"Followers"
"time_to_break";"2682120156";"Feelingtxt";262720
"time_to_break";"2941778520";"lovemessgs";221291
"time_to_break";"2237598752";"timmyclover";127550
"time_to_break";"932764814";"HuntingTheLiars";84231
"time_to_break";"2352039481";"hypeafrobeatz";44159
"Name";"Friend-Id";"ScreenName";"Followers"
"fadiasherraka";"1016392667121537029";"LeLou64512857";11812
"fadiasherraka";"1920571129";"WalidGraoui";10170
"fadiasherraka";"343904121";"Majdolineblog";9462
"fadiasherraka";"792325531";"tammam1975";7657
"fadiasherraka";"3405844979";"__Mryan__";6081
"Name";"Friend-Id";"ScreenName";"Followers"
"Souzane95402363";"2741994530";"Ahmedf67c3b424";7765
"Souzane95402363";"1218134130078224385";"DanielAkkari2";2951
"Souzane95402363";"1302200495709319168";"mira_tb_";2655
"Souzane95402363";"999441864884408320";"AliMKanso1";1754
"Souzane95402363";"3192527362";"NoorhanneKh";1694
