"Name";"Friend-Id";"ScreenName";"Followers"
"Name";"Friend-Id";"ScreenName";"Followers"
"Damduuma";"927201147433181185";"Nisso_Andro";34331
"Damduuma";"2935679835";"abolzoz4u111112";11299
"Damduuma";"433540042";"allouush";10055
"Damduuma";"1163684848445394945";"chahine_hani";8326
"Damduuma";"1035434896313987072";"mohammadalghad5";3774
"Name";"Friend-Id";"ScreenName";"Followers"
"nour_ali124";"1149281305663856640";"amalllb93";7526
"nour_ali124";"1275467149214208002";"Zeynab_81_gh";7398
"nour_ali124";"1271215888763478017";"zahraSadat1012";6796
"nour_ali124";"1211028519267926016";"elissakhalife1";3493
"nour_ali124";"2885905694";"FarajFranko61";2809
"Name";"Friend-Id";"ScreenName";"Followers"
"HananMehdi83";"2432068875";"lauryou1907";10350
"HananMehdi83";"1226230497531060224";"Akiki30";9990
"HananMehdi83";"992149136718909441";"chalhoub091";9064
"HananMehdi83";"1077290953529020417";"scorpion_king59";5783
"HananMehdi83";"858963611800281089";"MariamShehab9";5031
"Name";"Friend-Id";"ScreenName";"Followers"
"mohammadalghad5";"1196448092603764736";"raghdarm7_7";12554
"mohammadalghad5";"1112827411291410433";"Aya89902774";9274
"mohammadalghad5";"1095395467";"soulafehussein";8608
"mohammadalghad5";"1110840480";"z_barbouseh";7060
"mohammadalghad5";"1219927384973107200";"Damduuma";6871
"Name";"Friend-Id";"ScreenName";"Followers"
"ahmed_shabatat";"3301213580";"Dr95s";74744
"ahmed_shabatat";"755822538438111232";"rula_samain";16044
"ahmed_shabatat";"2184558153";"shamyabsmtaml";5873
"ahmed_shabatat";"452895112";"al_nashmyiah";3144
"ahmed_shabatat";"1215404275049926656";"AyaFare_74";2806
"Name";"Friend-Id";"ScreenName";"Followers"
"Zeidf1010";"739779650814136320";"noor_alkhdoor";4373
"Zeidf1010";"827979888581816323";"laylallloooo";2822
"Zeidf1010";"1215404275049926656";"AyaFare_74";2806
"Zeidf1010";"1085600175878533121";"saturnnaji21";2167
"Zeidf1010";"1280929467591012358";"AmalAlabbadi7";1311
"Name";"Friend-Id";"ScreenName";"Followers"
"CallMeJoujou";"635326943";"CrimsonJolene";14307
"CallMeJoujou";"485725291";"Mark_Darido";4157
"CallMeJoujou";"255180178";"Amirabiabdallah";2608
"CallMeJoujou";"963432124220133376";"Perejad";1667
"CallMeJoujou";"166098338";"mariamkrm";1584
"Name";"Friend-Id";"ScreenName";"Followers"
"nourmajdiwajdi";"476161105";"Kiks_ss";2652
"nourmajdiwajdi";"3373938387";"timawrites";2163
"nourmajdiwajdi";"2304394960";"GioHassoun";2099
"nourmajdiwajdi";"4391844912";"perla_rayess";1607
"nourmajdiwajdi";"1005413817508159488";"delalameen";1564
"Name";"Friend-Id";"ScreenName";"Followers"
"HalaHammoudd";"462979088";"NourFahmii";4271
"HalaHammoudd";"1117903492448956417";"nisrineb17";4146
"HalaHammoudd";"767396372177940480";"batinrealife";2671
"HalaHammoudd";"1217279110877192193";"goumarr1";2542
"HalaHammoudd";"1258836502018166785";"magareta99";1512
"Name";"Friend-Id";"ScreenName";"Followers"
"toufiluk";"407174134";"NadimKoteich";361576
"toufiluk";"337399038";"joemaalouftv";296535
"toufiluk";"78680738";"Jad_Ghosn";291431
"toufiluk";"234893346";"mohammedtarekO";118878
"toufiluk";"978373146859507712";"MahmoudOficial_";92249
"Name";"Friend-Id";"ScreenName";"Followers"
"Juliensthoughtz";"865523808035155970";"hussein_nasrlah";8415
"Juliensthoughtz";"2950424402";"1safatima";1196
"Juliensthoughtz";"1234168202911002624";"aline_itani";872
"Juliensthoughtz";"1304790067249020928";"yvonafarah";566
"Juliensthoughtz";"1251927549632020480";"patrickdaoud1";311
"Name";"Friend-Id";"ScreenName";"Followers"
"ruffledviolets";"334587350";"Husseinhamade3";25743
"ruffledviolets";"69363805";"Phil_Yacoub";10420
"ruffledviolets";"928872178858254340";"M_Rahhal_";8589
"ruffledviolets";"213399729";"Abd_HajYahia";8337
"ruffledviolets";"1102946503813931008";"karga_13";4772
"Name";"Friend-Id";"ScreenName";"Followers"
"Rmlichaa";"1496167854";"ItsTal_";16731
"Rmlichaa";"1185225479512608768";"MAFIA10452";6116
"Rmlichaa";"1258354412";"joeekaram";6077
"Rmlichaa";"1206597273414766592";"dimahmz";5382
"Rmlichaa";"431839839";"ibrahiimhaiidar";4815
"Name";"Friend-Id";"ScreenName";"Followers"
"georgekaram11";"1119659535948492800";"MaherMerhi3";12813
"georgekaram11";"333962516";"gaellesworld";4457
"georgekaram11";"930008963864768512";"Father_Geagea";3676
"georgekaram11";"1196373065539735558";"hanienkaram";3318
"georgekaram11";"1242875071556919298";"EliasMalham";2937
"Name";"Friend-Id";"ScreenName";"Followers"
"lakkis12";"270100572";"PattheyIssa";12229
"lakkis12";"1187305658649141248";"yasmin_hamdan_";5310
"lakkis12";"1276792106024079362";"Chadi_Jeha";3908
"lakkis12";"2560575135";"jamour71";3670
"lakkis12";"1257774481604558854";"AssmarOAssmar";2805
"Name";"Friend-Id";"ScreenName";"Followers"
"MayR07204309";"1101840323947491328";"anthonygh89";9700
"MayR07204309";"1258354412";"joeekaram";6077
"MayR07204309";"226936825";"MariaaYasminee";5492
"MayR07204309";"976272589";"aly_maryam";3960
"MayR07204309";"475167378";"marcelino_gh";2198
